config_name,D,f_lr,g_lr,L2-UVP,Cosine Similarity,L2 Error,final_f_loss,final_g_loss,final_f_gradient_norm,peak_f_gradient_norm,mean_f_gradient_norm,std_f_gradient_norm,final_g_gradient_norm,peak_g_gradient_norm,mean_g_gradient_norm,std_g_gradient_norm,final_f_parameter_norm,final_g_parameter_norm,training_time,iterations_per_second,NaN/Inf,completed_iterations
Baseline,32,0.001,0.001,51.19755172729492,0.7702000141143799,16.457298278808594,16.554656982421875,300.3968200683594,32.238633974109874,12999.474885664102,94.37817858641327,696.13227717508,0.9513842057300833,919.3289275646163,9.051857280917192,62.755565723349406,17.037014014803358,79.68399854592917,93.13808712502941,21.473492335258957,False,2000
G-slower-2x,32,0.001,0.0005,50.52083206176758,0.7737743854522705,16.239768981933594,16.51763916015625,296.97979736328125,35.09805468334531,1663.6683361789203,45.101917612704725,90.3105065167428,3.134606423505989,229.2650903191908,4.1464462411124625,16.886436111561924,16.896185554262708,30.821785410485447,94.08808637503535,21.256676345058132,False,2000
G-slower-4x,32,0.001,0.00025,52.57863998413086,0.7668836116790771,16.9012451171875,16.2198486328125,281.75360107421875,37.908494788569264,325.0893502019587,43.30948718600328,25.636757101177178,3.815459023001966,110.23194105385808,5.996094071577283,9.07432020137205,16.961628733248194,27.328656345057382,95.57651337515563,20.925643020159434,False,2000
