iter,f_loss,elapsed_sec
0,16.42551040649414,0.01
1,-3.1717376708984375,0.02
2,-4.4626617431640625,0.02
3,1.7677459716796875,0.03
4,3.3571929931640625,0.04
5,2.54986572265625,0.05
6,5.5472412109375,0.05
7,8.15203857421875,0.06
8,8.44232177734375,0.07
9,16.60260009765625,0.07
