D,L2-UVP,Cosine Similarity,L2 Error,final_f_loss,final_g_loss,f_gradient_norm,g_gradient_norm,parameter_norm,parameter_count,training_time,iterations_per_second,NaN/Inf,completed_iterations
2,5.3153300285339355,0.862567126750946,0.10568311810493469,1.7751388549804688,8.952905654907227,0.9752821282261754,0.021335587100589568,15.877522428584662,34051,142.54304695129395,14.030849226082472,False,2000
4,12.701884269714355,0.8009583353996277,0.5065313577651978,3.315601348876953,32.92436981201172,1.3171647871133876,0.08033526207714457,15.631106973691773,34821,142.8266212940216,14.002991752376596,False,2000
8,19.781370162963867,0.833642303943634,1.5809690952301025,6.112403869628906,68.93684387207031,2.5779356146936414,0.06390107199750428,15.191279799744626,36361,153.00731015205383,13.071270895570043,False,2000
16,37.638214111328125,0.768311619758606,6.014100074768066,10.712417602539062,160.36416625976562,13.849351062667486,1.5420738168230885,16.002006461984735,39441,158.80959606170654,12.593697418781208,False,2000
32,51.19755172729492,0.7702000141143799,16.457298278808594,16.554656982421875,300.3968200683594,32.238633974109874,0.9513842057300833,17.037014014803358,45601,157.90486025810242,12.665854595804792,False,2000
