width,L2-UVP,Cosine Similarity,L2 Error,final_f_loss,final_g_loss,f_gradient_norm,g_gradient_norm,f_parameter_norm,g_parameter_norm,parameter_count_f,training_time,iterations_per_second,NaN/Inf
64,36.75631332397461,0.774541437625885,5.844954490661621,10.518630981445312,152.08551025390625,17.94009376214773,0.3590179809076656,12.468813371919985,28.459211377558233,11537,96.96599507331848,20.625787406066927,False
128,37.638214111328125,0.768311619758606,6.014100074768066,10.712417602539062,160.36416625976562,13.849351062667486,1.5420738168230885,16.002006461984735,47.88196463963466,39441,141.19466495513916,14.164841147754744,False
256,36.4857063293457,0.7768722176551819,5.8395538330078125,10.909988403320312,172.2786102294922,10.560666722477391,2.819604148166237,20.95206963104301,63.21955776248708,144401,203.9093952178955,9.808277827820637,False
512,41.00761795043945,0.7442530393600464,6.609405994415283,10.78515625,165.3538360595703,8.489026919922837,0.6167032095929634,30.54207703582772,65.84244132458511,550929,301.266939163208,6.638630861903245,False
