config_name,lr,inner_iters,L2-UVP,Cosine Similarity,L2 Error,final_f_loss,final_g_loss,f_gradient_norm,g_gradient_norm,f_parameter_norm,g_parameter_norm,training_time,iterations_per_second,NaN/Inf
Baseline,0.001,10,37.638214111328125,0.768311619758606,6.014100074768066,10.712417602539062,160.36416625976562,13.849351062667486,1.5420738168230885,16.002006461984735,47.88196463963466,138.58292293548584,14.431792587684523,False
LR_5e-4,0.0005,10,38.1519775390625,0.7630647420883179,6.096192836761475,10.90228271484375,184.31158447265625,15.850430088856735,0.5383198883822073,15.704573793563716,25.66030921323036,143.86521911621094,13.901900767164905,False
LR_2.5e-4,0.00025,10,39.40433883666992,0.7518662810325623,6.296303749084473,11.115982055664062,195.6632080078125,14.92161740834479,0.2711905990663476,15.728078516667606,17.700621635381896,144.30179405212402,13.859841543463897,False
Inner_20,0.001,20,36.038822174072266,0.7757394313812256,5.819133281707764,10.4539794921875,160.05343627929688,7.561164905604271,0.7486505348284892,16.068901850894797,65.08191276075821,289.7270247936249,6.903049521958187,False
Inner_50,0.001,50,36.853790283203125,0.7722105383872986,5.894387245178223,10.467315673828125,162.13636779785156,6.388606721608197,0.8115858060006333,16.173363420033432,77.78321210340695,748.9124829769135,2.6705390088439125,False
